,compound,date,neg,neu,pos
160,0.8163571428571429,2016-12-01,0.04471428571428571,0.841857142857143,0.11357142857142856
161,0.9902,2017-05-14,0.099,0.7909999999999999,0.11
162,0.05944999999999995,2017-05-31,0.0685,0.8525,0.0785
163,0.9896666666666668,2016-09-12,0.06133333333333333,0.832,0.10733333333333335
164,0.9117,2017-01-19,0.0435,0.888,0.0685
165,0.35903999999999997,2016-02-09,0.06860000000000001,0.8470000000000001,0.08460000000000001
166,0.36877499999999996,2017-05-29,0.0765,0.8405,0.08299999999999999
167,0.991,2016-11-29,0.031,0.87,0.099
168,0.8828,2016-04-19,0.057,0.875,0.068
169,0.6652,2016-11-06,0.099,0.8,0.102
170,0.9995,2017-04-29,0.023,0.7559999999999999,0.22
171,0.7618222222222222,2016-11-09,0.07422222222222223,0.8128888888888889,0.1127777777777778
172,0.6846285714285714,2016-02-12,0.06042857142857143,0.8471428571428571,0.09257142857142855
173,,2016-04-28,,,
174,-0.7844,2017-02-04,0.091,0.85,0.059000000000000004
175,0.9063,2016-05-09,0.05299999999999999,0.8526666666666668,0.09400000000000001
176,,2017-01-9,,,
177,0.9982,2016-03-13,0.033,0.846,0.121
178,0.9152,2016-11-28,0.068,0.826,0.105
179,0.94165,2016-02-04,0.0625,0.841,0.0965
180,0.9995,2016-11-05,0.073,0.8220000000000001,0.105
181,0.41459999999999997,2016-12-23,0.06924999999999999,0.8604999999999999,0.07
182,0.95295,2016-05-10,0.05125,0.8667499999999999,0.0825
183,-0.7668,2016-12-09,0.084,0.8320000000000001,0.084
184,0.9700000000000001,2016-12-15,0.05499999999999999,0.8483333333333333,0.09699999999999999
185,0.9275,2016-04-20,0.0635,0.8460000000000001,0.09
186,0.9954,2017-02-10,0.07200000000000001,0.795,0.133
187,0.9742999999999999,2016-05-06,0.0495,0.8634999999999999,0.087
188,0.9449,2016-12-11,0.043,0.883,0.07400000000000001
189,0.9682,2017-03-27,0.077,0.828,0.094
190,0.32478571428571434,2016-01-08,0.07557142857142858,0.8194285714285714,0.10514285714285714
191,0.2669333333333333,2016-11-22,0.08166666666666667,0.8503333333333334,0.068
192,0.9869,2016-06-21,0.034,0.871,0.095
193,0.9667666666666667,2017-04-20,0.028,0.8943333333333333,0.07733333333333335
194,0.9932333333333333,2016-12-29,0.033999999999999996,0.8356666666666666,0.13
195,0.8581,2016-03-09,0.05433333333333334,0.867,0.07933333333333335
196,0.9903,2017-01-24,0.065,0.835,0.1
197,0.96455,2017-03-15,0.049,0.8445,0.1065
198,0.9275,2016-09-23,0.066,0.843,0.091
199,,2016-07-21,,,
200,0.1891857142857143,2016-12-02,0.072,0.836142857142857,0.09171428571428572
201,0.9946,2017-03-13,0.025333333333333336,0.86,0.11466666666666668
202,-0.88755,2016-02-05,0.0885,0.8380000000000001,0.07350000000000001
203,0.61554,2016-01-29,0.0708,0.8343999999999999,0.0946
204,0.9946,2016-05-08,0.03,0.866,0.10400000000000001
205,-0.8889,2017-02-19,0.107,0.7859999999999999,0.107
206,0.1912375,2016-01-07,0.07175000000000001,0.846875,0.081125
207,0.9967999999999999,2017-02-26,0.045,0.867,0.088
208,-0.9369,2016-10-07,0.09699999999999999,0.835,0.068
209,0.9811,2016-10-04,0.085,0.7709999999999999,0.14400000000000002
210,0.9581,2017-02-11,0.065,0.835,0.099
211,0.44632499999999997,2017-06-23,0.06949999999999999,0.8302499999999999,0.1
212,0.9574,2016-05-05,0.081,0.8160000000000001,0.10300000000000001
213,0.9115,2016-02-24,0.067,0.8490000000000001,0.085
214,0.9682,2016-05-07,0.032,0.8909999999999999,0.077
215,-0.9563,2017-03-16,0.087,0.841,0.07200000000000001
